file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,kissat_propagations,kissat_decisions,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf175-083.cnf,UF175.753.100,SAT,SAT,True,7.7972,753,1736,2112,1736,58083,127329,78630,2308,215112,215112.0,33865500.0,3.70352771034554,PASS,True,0.04,SAT,23821,857,0.035021,SAT,0.487373,SAT
uf175-084.cnf,UF175.753.100,SAT,SAT,True,54.3092,753,9209,10668,9209,290809,629431,426698,2275,1141165,1141160.0,198929000.0,3.9241048248162884,PASS,True,0.04,SAT,42458,2206,0.13609,SAT,0.324665,SAT
uf175-085.cnf,UF175.753.100,SAT,SAT,True,17.6613,753,3844,4471,3844,125895,272527,174496,2329,473222,473222.0,77031600.0,3.758862544183645,PASS,True,0.06,SAT,95676,3475,0.187506,SAT,0.683292,SAT
uf175-086.cnf,UF175.753.100,SAT,SAT,True,20.9908,753,4478,5164,4478,143616,314718,202328,2314,545629,545629.0,90405600.0,3.799221535204991,PASS,True,0.05,SAT,48552,1824,0.086058,SAT,0.197091,SAT
uf175-087.cnf,UF175.753.100,SAT,SAT,True,8.4557,753,1849,2177,1849,62972,138442,85179,2297,232844,232844.0,37286500.0,3.6975798767706283,PASS,True,0.05,SAT,94854,3722,0.095004,SAT,0.048455,SAT
uf175-088.cnf,UF175.753.100,SAT,SAT,True,5.6508,753,1310,1628,1310,43065,94029,57205,2315,157760,157760.0,24842300.0,3.6632996632996635,PASS,True,0.05,SAT,101247,5411,0.058888,SAT,0.120682,SAT
uf175-089.cnf,UF175.753.100,SAT,SAT,True,25.4685,753,5231,6165,5231,170356,369778,237717,2345,642112,642112.0,106198000.0,3.76923618774801,PASS,True,0.05,SAT,72262,3419,0.113566,SAT,0.699802,SAT
uf175-09.cnf,UF175.753.100,SAT,SAT,True,40.2137,753,7796,9000,7796,246870,533650,356759,2310,958527,958527.0,155799000.0,3.8827196500182284,PASS,True,0.16,SAT,411180,15086,0.098585,SAT,0.25379,SAT
uf175-090.cnf,UF175.753.100,SAT,SAT,True,0.8204,753,159,279,159,5961,12752,7234,2285,22466,22466.0,3007180.0,3.7688307330984734,PASS,False,0.04,SAT,45314,1964,0.009539,SAT,0.008476,SAT
uf175-091.cnf,UF175.753.100,SAT,SAT,True,23.7546,753,4930,5794,4930,159603,345285,224716,2299,607400,607400.0,98422600.0,3.8056928754472032,PASS,True,0.06,SAT,93495,3303,0.289508,SAT,0.607109,SAT
uf175-092.cnf,UF175.753.100,SAT,SAT,True,71.2169,753,11206,12764,11206,361548,775239,525891,2300,1411207,1411210.0,239908000.0,3.903235531658314,PASS,True,0.05,SAT,96622,3831,0.573772,SAT,0.194239,SAT
uf175-093.cnf,UF175.753.100,SAT,SAT,True,3.8635,753,912,1070,912,28869,64039,38438,2308,106430,106430.0,17352900.0,3.6866535037583565,PASS,True,0.12,SAT,319780,12494,0.182499,SAT,0.42834,SAT
uf175-094.cnf,UF175.753.100,SAT,SAT,True,62.961,753,10129,11810,10129,323878,695834,469160,2302,1258793,1258790.0,215711000.0,3.886627063276913,PASS,True,0.09,SAT,205975,8803,0.041217,SAT,0.854953,SAT
uf175-095.cnf,UF175.753.100,SAT,SAT,True,16.6649,753,3578,4114,3578,116636,255195,162269,2311,439098,439098.0,70506200.0,3.764686717651497,PASS,True,0.07,SAT,99904,5455,0.029197,SAT,0.226814,SAT
uf175-096.cnf,UF175.753.100,SAT,SAT,True,6.6389,753,1497,1785,1497,50677,110170,67362,2303,185441,185441.0,29769200.0,3.6592734376541625,PASS,True,0.04,SAT,33791,1444,0.135375,SAT,0.091054,SAT
uf175-097.cnf,UF175.753.100,SAT,SAT,True,17.636,753,3827,4396,3827,125574,273772,174428,2284,473333,473333.0,75940800.0,3.769355121283068,PASS,True,0.06,SAT,110942,4328,0.265465,SAT,0.568823,SAT
uf175-098.cnf,UF175.753.100,SAT,SAT,True,11.5594,753,2541,3017,2541,82675,183029,114149,2286,309239,309239.0,50743100.0,3.7404172966434834,PASS,True,0.05,SAT,88815,3424,0.218984,SAT,0.238754,SAT
uf175-099.cnf,UF175.753.100,SAT,SAT,True,10.3981,753,2401,2742,2401,76334,167385,105127,2288,285900,285900.0,47923400.0,3.7453821364005555,PASS,True,0.05,SAT,93621,3704,0.06826,SAT,0.187788,SAT
