file,set,expect,got,correct,wall_s,originals,learnts,decisions,conflicts,propagations,hw_bcp,hw_undo,hw_load,hw_cycles,hw_time_ns,sw_time_ns,cyc_per_prop,status,hw_overflow,kissat_cpu_s,kissat_got,kissat_propagations,kissat_decisions,minisat2_cpu_s,minisat2_got,glucose_cpu_s,glucose_got
uf200-031.cnf,uf200-860,SAT,SAT,True,6.2993,860,1198,1488,1198,43050,94401,57675,2603,159220,159220.0,31311700.0,3.6984901277584203,PASS,True,0.05,SAT,107253,3902,0.068687,SAT,0.591087,SAT
uf200-032.cnf,uf200-860,SAT,SAT,True,161.5075,860,16705,19042,16705,570145,1222119,832724,2593,2234842,2234840.0,484935000.0,3.919778302010892,PASS,True,0.14,SAT,405378,15186,0.670968,SAT,0.292288,SAT
uf200-033.cnf,uf200-860,SAT,SAT,True,29.7939,860,5205,6122,5205,189290,408457,258914,2600,703834,703834.0,133792000.0,3.71828411432194,PASS,True,0.05,SAT,102512,3829,0.891846,SAT,3.1271,SAT
uf200-034.cnf,uf200-860,SAT,SAT,True,38.8712,860,6129,7231,6129,232570,501571,316502,2622,862475,862475.0,167361000.0,3.708453368878187,PASS,True,0.06,SAT,116742,4845,0.440177,SAT,1.6746,SAT
uf200-035.cnf,uf200-860,SAT,SAT,True,15.9634,860,3142,3698,3142,110847,243053,152946,2618,415739,415739.0,72211300.0,3.7505660956092632,PASS,True,0.17,SAT,502614,18903,0.846271,SAT,1.61375,SAT
uf200-036.cnf,uf200-860,SAT,SAT,True,150.5574,860,15841,18150,15841,537033,1156725,791200,2620,2117589,2117590.0,458238000.0,3.943126400053628,PASS,True,0.05,SAT,83639,3005,0.718572,SAT,1.24078,SAT
uf200-037.cnf,uf200-860,SAT,SAT,True,123.6441,860,14036,16150,14036,495981,1069087,709401,2613,1910135,1910140.0,407033000.0,3.851226155840647,PASS,True,0.12,SAT,312048,12356,0.072493,SAT,0.378027,SAT
uf200-038.cnf,uf200-860,SAT,SAT,True,48.9298,860,7971,9058,7971,268472,586191,387300,2596,1040797,1040800.0,203354000.0,3.8767431985458445,PASS,True,0.06,SAT,99811,3539,0.835249,SAT,0.367381,SAT
uf200-039.cnf,uf200-860,SAT,,,180.005,,,,,,,,,,,,,TIMEOUT,True,0.12,SAT,340422,12070,1.73371,SAT,0.682077,SAT
uf200-04.cnf,uf200-860,SAT,SAT,True,85.0272,860,11585,13229,11585,410429,879631,587064,2598,1580439,1580440.0,271304000.0,3.8507001210928076,PASS,True,0.09,SAT,149825,6134,1.08436,SAT,1.03841,SAT
uf200-040.cnf,uf200-860,SAT,SAT,True,2.3001,860,454,591,454,17946,38758,22652,2610,65160,65160.0,10018400.0,3.6308926780341024,PASS,True,0.06,SAT,98121,3662,0.136511,SAT,1.19708,SAT
uf200-041.cnf,uf200-860,SAT,SAT,True,4.8635,860,1046,1274,1046,36771,80825,49448,2603,136565,136565.0,21524000.0,3.713932174811672,PASS,True,0.04,SAT,36748,1228,0.231869,SAT,0.445035,SAT
uf200-042.cnf,uf200-860,SAT,SAT,True,13.6201,860,2669,3138,2669,100793,216573,135277,2610,371605,371605.0,58833400.0,3.6868135684025676,PASS,True,0.05,SAT,108658,4202,0.614004,SAT,3.94948,SAT
uf200-043.cnf,uf200-860,SAT,SAT,True,144.6763,860,15954,18195,15954,546227,1170110,801817,2600,2150285,2150280.0,392006000.0,3.9366142647653812,PASS,True,0.05,SAT,99061,3724,0.0738,SAT,1.06383,SAT
uf200-044.cnf,uf200-860,SAT,SAT,True,47.3376,860,8021,9205,8021,284180,617282,401179,2615,1084531,1084530.0,183819000.0,3.8163523119149834,PASS,True,0.18,SAT,528053,22627,0.717576,SAT,1.62861,SAT
uf200-045.cnf,uf200-860,SAT,SAT,True,38.5846,860,6673,7723,6673,243836,527711,338868,2597,918292,918292.0,151097000.0,3.7660230646828197,PASS,True,0.05,SAT,103154,3625,0.178668,SAT,1.90854,SAT
uf200-046.cnf,uf200-860,SAT,SAT,True,13.8366,860,2737,3207,2737,100968,220166,136278,2613,372722,372722.0,61124000.0,3.6914864115363284,PASS,True,0.06,SAT,108489,3727,0.061448,SAT,0.623123,SAT
uf200-047.cnf,uf200-860,SAT,SAT,True,7.2378,860,1410,1726,1410,55778,121208,72555,2606,201409,201409.0,31894300.0,3.6109039406217507,PASS,True,0.09,SAT,237655,7526,0.680467,SAT,0.159983,SAT
uf200-048.cnf,uf200-860,SAT,SAT,True,112.1257,860,14046,16057,14046,484433,1037368,708041,2600,1900251,1900250.0,333699000.0,3.9226291355048066,PASS,True,0.2,SAT,595757,20279,0.669076,SAT,1.02235,SAT
uf200-049.cnf,uf200-860,SAT,SAT,True,166.3928,860,16942,19549,16942,570824,1214472,850570,2605,2273176,2273180.0,416420000.0,3.9822712429750675,PASS,True,0.09,SAT,249754,9150,0.579945,SAT,1.56355,SAT
uf200-05.cnf,uf200-860,SAT,SAT,True,101.639,860,12684,14612,12684,450984,968737,638808,2595,1724502,1724500.0,314800000.0,3.823865148209249,PASS,True,0.1,SAT,284365,11105,0.216565,SAT,1.12733,SAT
uf200-050.cnf,uf200-860,SAT,SAT,True,24.501,860,4562,5322,4562,166901,364972,230467,2610,625524,625524.0,100323000.0,3.747874488469212,PASS,True,0.07,SAT,103582,3922,0.218858,SAT,0.856667,SAT
uf200-051.cnf,uf200-860,SAT,,,180.0061,,,,,,,,,,,,,TIMEOUT,True,0.26,SAT,736993,27129,1.64936,SAT,0.096344,SAT
uf200-052.cnf,uf200-860,SAT,,,180.0094,,,,,,,,,,,,,TIMEOUT,True,0.06,SAT,108649,4292,1.34413,SAT,0.029158,SAT
uf200-053.cnf,uf200-860,SAT,SAT,True,90.3176,860,11674,13493,11674,421848,904126,595900,2602,1612276,1612280.0,276704000.0,3.821935863154501,PASS,True,0.06,SAT,105690,3670,0.049996,SAT,0.236563,SAT
uf200-054.cnf,uf200-860,SAT,SAT,True,15.7073,860,3104,3681,3104,114891,250350,154518,2606,422123,422123.0,67937500.0,3.6741172067437833,PASS,True,0.06,SAT,110008,4588,0.25123,SAT,0.660818,SAT
uf200-055.cnf,uf200-860,SAT,SAT,True,91.4514,860,12092,13949,12092,419679,901006,609215,2598,1637761,1637760.0,283430000.0,3.9024135112788585,PASS,True,0.06,SAT,103939,4069,0.798447,SAT,1.24971,SAT
uf200-056.cnf,uf200-860,SAT,SAT,True,17.1876,860,3265,3879,3265,124032,267437,167423,2623,458988,458988.0,75196800.0,3.700561145510836,PASS,True,0.03,SAT,6964,276,0.070058,SAT,0.115416,SAT
uf200-057.cnf,uf200-860,SAT,SAT,True,3.8957,860,797,1004,797,29960,66250,39823,2625,110984,110984.0,17315500.0,3.7044058744993325,PASS,True,0.05,SAT,103233,3809,0.34107,SAT,0.280904,SAT
